frame,object_type,confidence,x1,y1,x2,y2
1,vehicle,0.8924140334129333,0,689,366,984
1,vehicle,0.886907696723938,753,1366,1457,1983
1,vehicle,0.8867971301078796,2171,1159,2779,1735
1,vehicle,0.8655783534049988,1217,1016,1753,1417
1,vehicle,0.8443124294281006,1152,1306,1667,1797
1,vehicle,0.8359448313713074,2031,872,2439,1221
1,vehicle,0.8178285956382751,2278,1695,3332,2152
1,vehicle,0.7869918942451477,514,1958,1183,2153
1,vehicle,0.6864126920700073,290,537,604,868
1,vehicle,0.6631607413291931,2124,450,2423,709
1,vehicle,0.6502053141593933,1291,837,1686,1074
1,vehicle,0.5762385129928589,1484,773,1809,1076
1,vehicle,0.558062732219696,2228,803,2553,1032
1,vehicle,0.5032793283462524,595,577,811,783
1,vehicle,0.492571085691452,1408,660,1692,835
1,vehicle,0.47564637660980225,56,499,341,686
1,vehicle,0.46888062357902527,2069,683,2430,875
1,vehicle,0.39929863810539246,2235,1053,2663,1222
1,vehicle,0.38334745168685913,1664,478,1855,624
1,vehicle,0.3606231212615967,755,585,894,735
1,vehicle,0.33452415466308594,852,583,965,726
1,vehicle,0.2889019548892975,1548,572,1806,753
1,vehicle,0.2572651505470276,2438,590,2617,772
1,license_plate,0.6011329889297485,974,1755,1200,1850
1,license_plate,0.5809810161590576,2409,1554,2577,1637
2,vehicle,0.8999362587928772,0,686,364,981
2,vehicle,0.8839386701583862,2173,1162,2780,1737
2,vehicle,0.8820832371711731,755,1368,1455,1988
2,vehicle,0.86501145362854,1218,1017,1753,1420
2,vehicle,0.8436907529830933,1153,1311,1666,1803
2,vehicle,0.8404697775840759,2030,873,2445,1222
2,vehicle,0.8233455419540405,2276,1699,3325,2155
2,vehicle,0.783126175403595,515,1965,1179,2154
2,vehicle,0.677483856678009,1289,837,1686,1080
2,vehicle,0.645443320274353,2124,450,2422,707
2,vehicle,0.6046545505523682,290,530,604,869
2,vehicle,0.5901708006858826,1482,774,1807,1073
2,vehicle,0.5848973393440247,2229,806,2555,1028
2,vehicle,0.5460586547851562,1407,663,1692,836
2,vehicle,0.45812100172042847,2070,683,2431,877
2,vehicle,0.4558321535587311,2226,1055,2669,1221
2,vehicle,0.4493134617805481,56,497,342,683
2,vehicle,0.4128109812736511,596,577,813,783
2,vehicle,0.4035719931125641,289,537,606,866
2,vehicle,0.379894882440567,1664,478,1855,625
2,vehicle,0.35236528515815735,757,585,894,735
2,vehicle,0.33064159750938416,852,583,967,723
2,vehicle,0.2784857451915741,1546,572,1813,756
2,vehicle,0.26365378499031067,2428,594,2618,773
2,license_plate,0.5962788462638855,2411,1552,2586,1642
2,license_plate,0.5862954258918762,971,1762,1203,1868
3,vehicle,0.8922985792160034,746,1374,1450,1997
3,vehicle,0.8783203959465027,2170,1165,2784,1742
3,vehicle,0.8744643330574036,0,686,368,978
3,vehicle,0.8626864552497864,1217,1018,1755,1424
3,vehicle,0.8396314382553101,1136,1320,1660,1809
3,vehicle,0.8301317095756531,2033,875,2435,1225
3,vehicle,0.8196779489517212,2287,1708,3333,2154
3,vehicle,0.7686476111412048,517,1980,1172,2156
3,vehicle,0.6488249897956848,1282,835,1688,1078
3,vehicle,0.5966964364051819,1483,771,1808,1075
3,vehicle,0.579343318939209,2125,450,2423,719
3,vehicle,0.5613827109336853,2226,807,2563,1039
3,vehicle,0.555633008480072,293,539,607,864
3,vehicle,0.5286813974380493,293,532,609,868
3,vehicle,0.4983878433704376,598,575,814,782
3,vehicle,0.46555912494659424,2235,1058,2670,1219
3,vehicle,0.4401053190231323,2085,684,2431,872
3,vehicle,0.4398577809333801,1406,660,1689,835
3,vehicle,0.39094600081443787,60,498,345,685
3,vehicle,0.37293481826782227,2437,596,2617,766
3,vehicle,0.35127368569374084,1663,474,1858,630
3,vehicle,0.3104255199432373,758,585,895,735
3,vehicle,0.27798378467559814,1094,396,1283,519
3,vehicle,0.2731967270374298,2123,450,2423,717
3,vehicle,0.2639264464378357,1546,577,1809,756
3,license_plate,0.470191091299057,2410,1564,2585,1652
3,license_plate,0.29844221472740173,967,1786,1152,1865
3,license_plate,0.2633952498435974,1221,1736,1303,1805
4,vehicle,0.8926107883453369,741,1379,1451,2007
4,vehicle,0.8815000057220459,2,684,377,972
4,vehicle,0.8767199516296387,2172,1171,2786,1753
4,vehicle,0.8668815493583679,1214,1018,1767,1432
4,vehicle,0.8441242575645447,2290,1716,3344,2152
4,vehicle,0.8298653364181519,1138,1325,1659,1818
4,vehicle,0.8255459666252136,2031,876,2442,1227
4,vehicle,0.7338641881942749,516,1995,1135,2158
4,vehicle,0.646867036819458,1284,837,1684,1070
4,vehicle,0.6158888339996338,2126,450,2423,718
4,vehicle,0.6092177629470825,1471,780,1802,1054
4,vehicle,0.6014961004257202,296,536,612,869
4,vehicle,0.5097350478172302,600,578,821,777
4,vehicle,0.496852308511734,2233,1062,2670,1223
4,vehicle,0.48600536584854126,2218,808,2568,1061
4,vehicle,0.46786436438560486,297,539,613,864
4,vehicle,0.4482358694076538,2123,687,2437,879
4,vehicle,0.4315672814846039,1405,661,1688,839
4,vehicle,0.4070111811161041,59,499,346,681
4,vehicle,0.3680141866207123,757,576,898,728
4,vehicle,0.36025381088256836,2432,597,2619,768
4,vehicle,0.3517768383026123,1664,474,1863,649
4,vehicle,0.33784228563308716,2054,680,2435,911
4,vehicle,0.28152233362197876,854,586,967,711
4,vehicle,0.26263993978500366,472,473,680,599
4,license_plate,0.49830594658851624,965,1788,1188,1880
4,license_plate,0.49704667925834656,2411,1566,2583,1650
4,license_plate,0.3245405852794647,946,1786,1153,1871
5,vehicle,0.8824877142906189,740,1385,1449,2024
5,vehicle,0.8809964060783386,4,684,382,972
5,vehicle,0.8680063486099243,2170,1176,2805,1757
5,vehicle,0.867860734462738,1218,1019,1767,1436
5,vehicle,0.842957079410553,2289,1723,3345,2151
5,vehicle,0.834092378616333,1139,1331,1659,1825
5,vehicle,0.8332964777946472,2029,878,2443,1228
5,vehicle,0.7325440645217896,515,2008,1135,2154
5,vehicle,0.6709972620010376,1286,838,1687,1072
5,vehicle,0.6191384792327881,1473,776,1809,1076
5,vehicle,0.6063584685325623,300,537,614,869
5,vehicle,0.6004876494407654,2126,450,2422,712
5,vehicle,0.5357874035835266,2218,809,2564,1061
5,vehicle,0.49818265438079834,602,578,822,775
5,vehicle,0.47108474373817444,1405,661,1690,841
5,vehicle,0.4630998373031616,2232,1061,2673,1220
5,vehicle,0.4437403678894043,2087,683,2430,881
5,vehicle,0.4224635064601898,68,499,344,680
5,vehicle,0.41571271419525146,2421,598,2619,769
5,vehicle,0.3216754198074341,760,578,898,726
5,vehicle,0.31680524349212646,1664,473,1862,647
5,vehicle,0.3081037402153015,1118,396,1284,522
5,vehicle,0.2775575816631317,856,586,966,711
5,vehicle,0.2664680480957031,2123,450,2421,714
5,vehicle,0.2572316825389862,1549,574,1813,758
5,license_plate,0.578700840473175,2417,1575,2587,1653
5,license_plate,0.550062358379364,947,1787,1192,1893
6,vehicle,0.9015880823135376,729,1391,1445,2032
6,vehicle,0.8864428400993347,7,682,388,970
6,vehicle,0.8747726678848267,1209,1022,1764,1442
6,vehicle,0.8647234439849854,2167,1180,2792,1763
6,vehicle,0.8530147671699524,1127,1335,1658,1834
6,vehicle,0.8374794721603394,2030,881,2440,1230
6,vehicle,0.8305650949478149,2291,1735,3343,2154
6,vehicle,0.7105090618133545,1286,839,1684,1072
6,vehicle,0.7027202844619751,495,2015,1121,2157
